country,region,GDP per capita usd,population,suicides/100k pop,gini,HDI,median_age,life_expectancy,household_debt_percent_GDP,happiness
Nepal,,,,,32.8,0.566,23.6,69.515,30.25,4.513999999999999
Mauritania,,,,,32.4,0.514,20.3,63.93600000000001,,4.436
France,,,,,32.3,0.898,41.2,82.32195122,56.25,6.575
Bangladesh,,,,,32.1,0.592,26.3,71.514,7.73,4.694
Mongolia,,,,,32.0,0.737,27.9,69.111,,4.874
Montenegro,,,,,31.9,0.809,40.2,76.452,,5.192
Ireland,,,,,31.9,0.929,36.4,81.45365854,56.46,6.94
Lebanon,,,,,31.8,0.752,29.9,78.768,,4.8389999999999995
Azerbaijan,,,,,31.8,0.758,30.9,72.266,,5.212000000000001
Egypt,,,,,31.8,0.691,23.8,71.30199999999999,,4.194
São Tomé and Principe,,,,,30.8,,,,,
Pakistan,,,,,30.7,0.551,23.4,66.577,3.1,5.194
Timor-Leste,,,,,30.3,0.63,,68.459,,
Iraq,,,,,29.5,0.668,19.9,69.929,,4.677
Albania,,,,,29.0,0.776,32.5,78.025,11.28,4.959
Kyrgyz Republic,,,,,29.0,,,70.65121951,,
Algeria,,,,,27.6,0.749,27.8,76.09,2.77,5.605
Moldova,,,,,27.0,0.693,36.3,71.47800000000001,,5.888999999999999
Belarus,,,,,26.7,0.805,39.8,73.62439024,,5.813
Slovakia,,,,,26.1,0.851,40.1,76.56341463,34.82,5.995
Afghanistan,,,,,,0.493,18.6,63.376999999999995,0.58,3.575
Andorra,,,,,,0.854,43.7,,,
Bahamas,,,,,,0.807,31.8,73.08800000000001,,
Bahrain,,,,,,0.832,32.1,76.762,,5.96
Barbados,,,,,,0.797,38.3,78.801,,
Brunei Darussalam,,,,,,0.852,,75.318,,
Cambodia,,,,,,0.571,24.9,68.637,,3.819
Dominica,,,,,,0.721,33.0,,,
Equatorial Guinea,,,,,,0.593,19.6,57.358999999999995,,
Eritrea,,,,,,0.433,19.4,64.664,,
Eswatini,,,,,,0.584,,55.358999999999995,,
Gambia,,,,,,0.457,20.7,,,
Hong Kong,,,,,,0.927,44.0,84.27804878,67.09,5.474
Kuwait,,,,,,0.802,29.2,75.13,,6.295
Libya,,,,,,0.694,28.5,72.12100000000001,,5.754
Liechtenstein,,,,,,0.912,42.9,82.65609756,,
Maldives,,,,,,0.71,27.8,77.691,,
Marshall Islands,,,,,,..,22.7,,,
Micronesia,,,,,,0.627,24.7,67.315,,
New Zealand,,,,,,0.914,37.8,81.45682927,89.86,7.2860000000000005
Oman,,,,,,0.822,25.4,76.887,,6.853
Palau,,,,,,0.793,33.3,,,
"Palestine, State of",,,,,,0.687,,,,
Saint Kitts and Nevis,,,,,,0.773,34.5,,,
Saint Lucia,,,,,,0.744,34.2,,,
Sao Tome and Principe,,,,,,0.58,,69.377,,
Saudi Arabia,,,,,,0.854,27.2,74.65100000000001,13.75,6.4110000000000005
South Sudan,,,,,,0.399,17.1,56.855,,
The former Yugoslav Republic of Macedonia,,,,,,0.754,,,,
United Arab Emirates,,,,,,0.86,30.3,77.285,25.16,6.901
North Korea,,,,,,..,33.8,71.48100000000001,,
Monaco,,,,,,..,52.4,,,
Nauru,,,,,,..,26.1,,,
San Marino,,,,,,..,44.2,,,
Somalia,,,,,,..,17.9,55.92,,
Saint Pierre and Miquelon,,,,,,,45.9,,,
Virgin Islands,,,,,,,45.6,79.16829268,,
Isle of Man,,,,,,,43.9,,,
Guernsey,,,,,,,43.6,,,
Saint Barthelemy,,,,,,,43.6,,,
Bermuda,,,,,,,43.2,81.01219512,,
"Saint Helena, Ascension and Tristan da Cunha",,,,,,,41.5,,,
Sint Maarten,,,,,,,40.7,,,
Taiwan,,,,,,,40.2,,,6.297999999999999
Cayman Islands,,,,,,,39.9,,,
Aruba,,,,,,,39.1,75.725,,
Macau,,,,,,,38.7,,,
Jersey,,,,,,,38.5,,,
Faroe Islands,,,,,,,37.7,81.94634146,,
British Virgin Islands,,,,,,,36.2,,,
Curacao,,,,,,,36.0,78.07560976,,
Cook Islands,,,,,,,35.9,,,
Anguilla,,,,,,,34.6,,,
Gibraltar,,,,,,,34.5,,,
Greenland,,,,,,,33.8,71.24634146,,
Turks and Caicos Islands,,,,,,,32.9,,,
Northern Mariana Islands,,,,,,,32.7,,,
Montserrat,,,,,,,32.6,,,
Saint Martin,,,,,,,32.3,,,
New Caledonia,,,,,,,31.7,77.24430351,,
Wallis and Futuna,,,,,,,31.6,,,
French Polynesia,,,,,,,31.5,76.78699999999999,,
Guam,,,,,,,30.4,79.14399999999999,,
Brunei,,,,,,,29.9,,,
American Samoa,,,,,,,29.4,,,
Kosovo,,,,,,,28.7,71.34634146,,5.5889999999999995
Burma,,,,,,,28.6,,,
Cape Verde,,,,,,,24.9,,,
Western Sahara,,,,,,,21.1,,,
Palestinian Territories,,,,,,,19.2,,,4.715
East Timor,,,,,,,18.8,,,
São Tomé and Príncipe,,,,,,,18.2,,12.55,
World,,,,,,,30.1,71.94789833,,
Arab World,,,,,,,,71.24957141,,
Central Europe and the Baltics,,,,,,,,76.59107024,,
Channel Islands,,,,,,,,82.429,,
Caribbean small states,,,,,,,,73.27301598,,
East Asia & Pacific (excluding high income),,,,,,,,74.49622762,,
Early-demographic dividend,,,,,,,,69.74927422,,
East Asia & Pacific,,,,,,,,75.39255688,,
Europe & Central Asia (excluding high income),,,,,,,,72.71037286,,
Europe & Central Asia,,,,,,,,77.23880001,,
Euro area,,,,,,,,81.56932908,,
European Union,,,,,,,,80.62059281,,
Fragile and conflict affected situations,,,,,,,,62.45077645,,
"Gambia, The",,,,,,,,60.91,,
High income,,,,,,,,80.48961424,,
Heavily indebted poor countries (HIPC),,,,,,,,61.85295324,,
IBRD only,,,,,,,,72.69987577,,
IDA & IBRD total,,,,,,,,70.35702857,,
IDA total,,,,,,,,63.26317985,,
IDA blend,,,,,,,,61.37157717,,
IDA only,,,,,,,,64.23176212,,
Not classified,,,,,,,,,,
St. Kitts and Nevis,,,,,,,,,,
Latin America & Caribbean (excluding high income),,,,,,,,74.76044681,,
Latin America & Caribbean,,,,,,,,74.95969785,,
Least developed countries: UN classification,,,,,,,,63.94777696,,
Low income,,,,,,,,62.55473825,,
Lower middle income,,,,,,,,67.80471167,,
Low & middle income,,,,,,,,70.29377543,,
Late-demographic dividend,,,,,,,,75.47081634,,
"Macao SAR, China",,,,,,,,83.70700000000001,,
St. Martin (French part),,,,,,,,79.47073171,,
Middle East & North Africa,,,,,,,,73.51484485,,
Middle income,,,,,,,,71.21391513,,
North Macedonia,,,,,,,,75.406,22.43,
Middle East & North Africa (excluding high income),,,,,,,,73.00029612,,
North America,,,,,,,,79.01211102,,
OECD members,,,,,,,,79.93402595,,
Other small states,,,,,,,,67.40523612,,
Pre-demographic dividend,,,,,,,,59.51195893,,
West Bank and Gaza,,,,,,,,73.442,,
Pacific island small states,,,,,,,,69.44445877,,
Post-demographic dividend,,,,,,,,80.39489868,,
South Asia,,,,,,,,68.64190068,,
Sub-Saharan Africa (excluding high income),,,,,,,,59.95148447,,
Sub-Saharan Africa,,,,,,,,59.95283055,,
Small states,,,,,,,,68.61401082,,
East Asia & Pacific (IDA & IBRD countries),,,,,,,,74.53395213,,
Europe & Central Asia (IDA & IBRD countries),,,,,,,,73.15024724,,
Latin America & the Caribbean (IDA & IBRD countries),,,,,,,,74.8647344,,
Middle East & North Africa (IDA & IBRD countries),,,,,,,,72.99505261,,
South Asia (IDA & IBRD),,,,,,,,68.64190068,,
Sub-Saharan Africa (IDA & IBRD countries),,,,,,,,59.95283055,,
Upper middle income,,,,,,,,75.01752704,,
St. Vincent and the Grenadines,,,,,,,,72.095,,
North Cyprus,,,,,,,,,,5.695
Somaliland region,,,,,,,,,,5.0569999999999995
Congo (Kinshasa),,,,,,,,,,4.5169999999999995
Congo (Brazzaville),,,,,,,,,,3.989
