Solomon Islands,22.2,2016 est.
Guatemala,21.7,2016 est.
Vanuatu,21.7,2016 est.
Swaziland,21.4,2016 est.
Western Sahara,21.1,2016 est.
Ghana,21,2016 est.
Namibia,21,2016 est.
Côte d'Ivoire (Ivory Coast),20.7,2016 est.
Gambia,20.7,2016 est.
Zimbabwe,20.6,2016 est.
Mauritania,20.3,2016 est.
Guinea-Bissau,20,2016 est.
Iraq,19.9,2016 est.
Congo (Republic),19.7,2016 est.
Togo,19.7,2016 est.
Central African Republic,19.6,2016 est.
Comoros,19.6,2016 est.
Equatorial Guinea,19.6,2016 est.
Sudan,19.6,2016 est.
Kenya,19.5,2016 est.
Madagascar,19.5,2016 est.
Eritrea,19.4,2016 est.
Palestinian Territories,19.2,2016 est.
Yemen,19.2,2016 est.
Rwanda,19,2016 est.
Sierra Leone,19,2016 est.
East Timor,18.8,2016 est.
Guinea,18.8,2016 est.
Senegal,18.7,2016 est.
Afghanistan,18.6,2016 est.
Gabon,18.6,2016 est.
Cameroon,18.5,2016 est.
Congo (Democratic Republic),18.4,2016 est.
Liberia,18.3,2016 est.
Nigeria,18.3,2016 est.
Angola,18.2,2016 est.
São Tomé and Príncipe,18.2,2016 est.
Benin,18,2016 est.
Somalia,17.9,2016 est.
Ethiopia,17.8,2016 est.
Chad,17.6,2016 est.
Tanzania,17.6,2016 est.
Burkina Faso,17.2,2016 est.
Mozambique,17.1,2016 est.
South Sudan,17.1,2016 est.
Burundi,17,2016 est.
Zambia,16.7,2016 est.
Malawi,16.5,2016 est.
Mali,16.2,2016 est.
Uganda,15.7,2016 est.
Niger,15.3,2016 est.
World,30.1,2016 est.
